City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,revda,56.801,59.9303,1.65,97,100,3.89,RU,1699505208
1,richards bay,-28.783,32.0377,19.48,79,100,0.77,ZA,1699505162
2,yeniseysk,58.4497,92.1703,-8.39,70,7,3.96,RU,1699505208
3,puerto aysen,-45.4,-72.7,6.1,98,92,1.65,CL,1699505208
4,gadzhiyevo,69.2551,33.3362,-8.76,98,86,2.47,RU,1699505208
5,spratzern,48.1704,15.6184,6.57,99,8,0.45,AT,1699505208
6,port-aux-francais,-49.35,70.2167,5.93,95,100,16.68,TF,1699505209
7,grytviken,-54.2811,-36.5092,3.56,78,100,1.08,GS,1699505209
8,tarinkot,32.6268,65.8733,15.36,52,7,0.56,AF,1699505209
9,lompoc,34.6391,-120.4579,16.23,69,0,4.02,US,1699505209
10,adamstown,-25.066,-130.1015,22.56,87,100,8.16,PN,1699505209
11,blackmans bay,-43.0167,147.3167,21.96,66,30,2.63,AU,1699505209
12,la libertad,-2.2333,-80.9,22.95,79,99,5.1,EC,1699505210
13,udachny,66.4167,112.4,-15.89,84,78,2.82,RU,1699505210
14,nuuk,64.1835,-51.7216,-0.66,100,100,3.6,GL,1699504998
15,ferkessedougou,9.6,-5.2,23.86,82,82,2.01,CI,1699505210
16,biltine,14.5333,20.9167,25.51,23,99,5.76,TD,1699505210
17,jamestown,42.097,-79.2353,11.51,54,75,6.69,US,1699505210
18,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699505211
19,west island,-12.1568,96.8225,28.99,79,100,5.14,CC,1699505211
20,linxia chengguanzhen,35.6003,103.2064,8.64,34,0,1.94,CN,1699505211
21,ust-nera,64.5667,143.2,-28.25,99,66,1.87,RU,1699505211
22,yaren,-0.5472,166.916,28.48,81,89,8.42,NR,1699505211
23,fale old settlement,-9.3852,-171.2468,28.93,69,97,3.99,TK,1699505211
24,puerto natales,-51.7236,-72.4875,1.32,91,12,2.68,CL,1699505212
25,cabo san lucas,22.8909,-109.9124,27.09,73,100,0.89,MX,1699504547
26,yellowknife,62.456,-114.3525,-7.71,93,100,1.54,CA,1699505212
27,broken hill,-31.95,141.4333,34.21,15,2,5.35,AU,1699505212
28,longyearbyen,78.2186,15.6401,-2.09,74,75,6.17,SJ,1699505212
29,port elizabeth,-33.918,25.5701,16.84,75,0,2.06,ZA,1699505212
30,marondera,-18.1853,31.5519,15.93,83,82,3.03,ZW,1699505213
31,port alfred,-33.5906,26.891,16.77,85,25,0.89,ZA,1699505213
32,arteche,12.2645,125.4048,29.75,69,15,3.14,PH,1699505213
33,codrington,-38.2667,141.9667,18.84,55,26,4.6,AU,1699505213
34,iqaluit,63.7506,-68.5145,-5.15,79,75,8.75,CA,1699505213
35,gandajika,-6.75,23.95,20.22,97,99,2.25,CD,1699505213
36,san mariano,7.5,126.0,28.7,79,71,1.72,PH,1699505214
37,ocean shores,46.9737,-124.1563,7.79,96,0,2.06,US,1699505214
